Athlon Gold 7220U
Athlon Silver 7120U
Ryzen 3 5425U
Ryzen 3 7320U
Ryzen 3 7330U
Ryzen 3 7335U
Ryzen 5 5600
Ryzen 5 5600X
Ryzen 5 5625U
Ryzen 5 6600H
Ryzen 5 6600HS
Ryzen 5 6600U
Ryzen 5 7520U
Ryzen 5 7530U
Ryzen 5 7535H
Ryzen 5 7535HS
Ryzen 5 7535U
Ryzen 5 7600
Ryzen 5 7600X
Ryzen 5 7640HS
Ryzen 5 7640U
Ryzen 5 7645HX
Ryzen 5 PRO 6650H
Ryzen 5 PRO 6650HS
Ryzen 5 PRO 6650U
Ryzen 7 5700X
Ryzen 7 5800
Ryzen 7 5800X
Ryzen 7 5800X3D
Ryzen 7 5825U
Ryzen 7 6800H
Ryzen 7 6800HS
Ryzen 7 6800U
Ryzen 7 7700
Ryzen 7 7700X
Ryzen 7 7730U
Ryzen 7 7735H
Ryzen 7 7735HS
Ryzen 7 7735U
Ryzen 7 7736U
Ryzen 7 7745HX
Ryzen 7 7800X3D
Ryzen 7 7840HS
Ryzen 7 PRO 6850H
Ryzen 7 PRO 6850HS
Ryzen 7 PRO 6850U
Ryzen 9 5900
Ryzen 9 5900X
Ryzen 9 5950X
Ryzen 9 6900HS
Ryzen 9 6900HX
Ryzen 9 6980HS
Ryzen 9 6980HX
Ryzen 9 7845HX
Ryzen 9 7900
Ryzen 9 7900X
Ryzen 9 7900X3D
Ryzen 9 7940HS
Ryzen 9 7945HX
Ryzen 9 7950X
Ryzen 9 7950X3D
Ryzen 9 PRO 6950H
Ryzen 9 PRO 6950HS
