Ryzen Threadripper 1900X
Ryzen Threadripper 1920X
Ryzen Threadripper 1950X
Ryzen Threadripper 2920X
Ryzen Threadripper 2950X
Ryzen Threadripper 2970WX
Ryzen Threadripper 2990WX
